credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr,product_name,product_type,annual_fee,description,tags,combined_text
Federal Prestige 1,dining_rewards,online_cashback,3.49,fuel,Federal Bank,1451,Federal Prestige 1,credit_card,1451.0,Federal Prestige 1 dining_rewards online_cashback fuel Federal Bank 3.49 annual fee 1451,cashback discounts fuel premium_fee shopping,Federal Prestige 1 dining_rewards online_cashback fuel Federal Bank 3.49 annual fee 1451 cashback discounts fuel premium_fee shopping dining_rewards online_cashback fuel Federal Bank
Federal Travel,dining_rewards,milestone_rewards,4.27,travel,Federal Bank,1103,Federal Travel,credit_card,1103.0,Federal Travel dining_rewards milestone_rewards travel Federal Bank 4.27 annual fee 1103,discounts premium_fee travel,Federal Travel dining_rewards milestone_rewards travel Federal Bank 4.27 annual fee 1103 discounts premium_fee travel dining_rewards milestone_rewards travel Federal Bank
BOB Gold,shopping_rewards,dining_discounts,3.3,business,Bank of Baroda,1750,BOB Gold,credit_card,1750.0,BOB Gold shopping_rewards dining_discounts business Bank of Baroda 3.3 annual fee 1750,business discounts premium premium_fee shopping,BOB Gold shopping_rewards dining_discounts business Bank of Baroda 3.3 annual fee 1750 business discounts premium premium_fee shopping shopping_rewards dining_discounts business Bank of Baroda
ICICI Air 1,shopping_rewards,fuel_surcharge_waiver,2.13,fuel,ICICI Bank,2136,ICICI Air 1,credit_card,2136.0,ICICI Air 1 shopping_rewards fuel_surcharge_waiver fuel ICICI Bank 2.13 annual fee 2136,fuel premium_fee shopping,ICICI Air 1 shopping_rewards fuel_surcharge_waiver fuel ICICI Bank 2.13 annual fee 2136 fuel premium_fee shopping shopping_rewards fuel_surcharge_waiver fuel ICICI Bank
Axis Flipkart 1,dining_rewards,welcome_bonus,3.18,dining,Axis Bank,5722,Axis Flipkart 1,credit_card,5722.0,Axis Flipkart 1 dining_rewards welcome_bonus dining Axis Bank 3.18 annual fee 5722,discounts premium_fee,Axis Flipkart 1 dining_rewards welcome_bonus dining Axis Bank 3.18 annual fee 5722 discounts premium_fee dining_rewards welcome_bonus dining Axis Bank
IndusInd Multicurrency,dining_rewards,accelerated_rewards,4.94,online_spends,IndusInd Bank,9602,IndusInd Multicurrency,credit_card,9602.0,IndusInd Multicurrency dining_rewards accelerated_rewards online_spends IndusInd Bank 4.94 annual fee 9602,discounts premium_fee shopping,IndusInd Multicurrency dining_rewards accelerated_rewards online_spends IndusInd Bank 4.94 annual fee 9602 discounts premium_fee shopping dining_rewards accelerated_rewards online_spends IndusInd Bank
HDFC Regalia 1,shopping_rewards,concierge_service,2.42,online_spends,HDFC Bank,3234,HDFC Regalia 1,credit_card,3234.0,HDFC Regalia 1 shopping_rewards concierge_service online_spends HDFC Bank 2.42 annual fee 3234,premium_fee shopping,HDFC Regalia 1 shopping_rewards concierge_service online_spends HDFC Bank 2.42 annual fee 3234 premium_fee shopping shopping_rewards concierge_service online_spends HDFC Bank
Axis Insta Business,cashback,golf_membership,0.61,dining,Axis Bank,2975,Axis Insta Business,credit_card,2975.0,Axis Insta Business cashback golf_membership dining Axis Bank 0.61 annual fee 2975,business cashback discounts premium_fee,Axis Insta Business cashback golf_membership dining Axis Bank 0.61 annual fee 2975 business cashback discounts premium_fee cashback golf_membership dining Axis Bank
IndusInd Pinnacle 5,cashback,priority_checkout,0.7,luxury,IndusInd Bank,1252,IndusInd Pinnacle 5,credit_card,1252.0,IndusInd Pinnacle 5 cashback priority_checkout luxury IndusInd Bank 0.7 annual fee 1252,cashback premium_fee,IndusInd Pinnacle 5 cashback priority_checkout luxury IndusInd Bank 0.7 annual fee 1252 cashback premium_fee cashback priority_checkout luxury IndusInd Bank
SBI SimplyCLICK,fuel_rewards,insurance_coverage,2.85,shopping,SBI,6794,SBI SimplyCLICK,credit_card,6794.0,SBI SimplyCLICK fuel_rewards insurance_coverage shopping SBI 2.85 annual fee 6794,fuel premium_fee shopping,SBI SimplyCLICK fuel_rewards insurance_coverage shopping SBI 2.85 annual fee 6794 fuel premium_fee shopping fuel_rewards insurance_coverage shopping SBI
Canara Business 1,dining_rewards,fuel_surcharge_waiver,3.55,travel,Canara Bank,7458,Canara Business 1,credit_card,7458.0,Canara Business 1 dining_rewards fuel_surcharge_waiver travel Canara Bank 3.55 annual fee 7458,business discounts fuel premium_fee travel,Canara Business 1 dining_rewards fuel_surcharge_waiver travel Canara Bank 3.55 annual fee 7458 business discounts fuel premium_fee travel dining_rewards fuel_surcharge_waiver travel Canara Bank
Axis Urban Plus 2,dining_rewards,dining_discounts,4.03,fuel,Axis Bank,3647,Axis Urban Plus 2,credit_card,3647.0,Axis Urban Plus 2 dining_rewards dining_discounts fuel Axis Bank 4.03 annual fee 3647,discounts fuel premium_fee,Axis Urban Plus 2 dining_rewards dining_discounts fuel Axis Bank 4.03 annual fee 3647 discounts fuel premium_fee dining_rewards dining_discounts fuel Axis Bank
Union Privilege 2,cashback,priority_checkout,1.87,travel,Union Bank of India,398,Union Privilege 2,credit_card,398.0,Union Privilege 2 cashback priority_checkout travel Union Bank of India 1.87 annual fee 398,cashback moderate_fee travel,Union Privilege 2 cashback priority_checkout travel Union Bank of India 1.87 annual fee 398 cashback moderate_fee travel cashback priority_checkout travel Union Bank of India
BOB Rewards 1,shopping_rewards,milestone_rewards,2.05,travel,Bank of Baroda,6157,BOB Rewards 1,credit_card,6157.0,BOB Rewards 1 shopping_rewards milestone_rewards travel Bank of Baroda 2.05 annual fee 6157,premium_fee shopping travel,BOB Rewards 1 shopping_rewards milestone_rewards travel Bank of Baroda 2.05 annual fee 6157 premium_fee shopping travel shopping_rewards milestone_rewards travel Bank of Baroda
IndusInd Travel,fuel_rewards,insurance_coverage,4.25,fuel,IndusInd Bank,5631,IndusInd Travel,credit_card,5631.0,IndusInd Travel fuel_rewards insurance_coverage fuel IndusInd Bank 4.25 annual fee 5631,fuel premium_fee travel,IndusInd Travel fuel_rewards insurance_coverage fuel IndusInd Bank 4.25 annual fee 5631 fuel premium_fee travel fuel_rewards insurance_coverage fuel IndusInd Bank
RBL Elite 2,travel_points,accelerated_rewards,4.52,shopping,RBL Bank,5412,RBL Elite 2,credit_card,5412.0,RBL Elite 2 travel_points accelerated_rewards shopping RBL Bank 4.52 annual fee 5412,points premium_fee shopping travel,RBL Elite 2 travel_points accelerated_rewards shopping RBL Bank 4.52 annual fee 5412 points premium_fee shopping travel travel_points accelerated_rewards shopping RBL Bank
Federal Rewards 2,premium_points,golf_membership,2.82,travel,Federal Bank,7024,Federal Rewards 2,credit_card,7024.0,Federal Rewards 2 premium_points golf_membership travel Federal Bank 2.82 annual fee 7024,points premium premium_fee travel,Federal Rewards 2 premium_points golf_membership travel Federal Bank 2.82 annual fee 7024 points premium premium_fee travel premium_points golf_membership travel Federal Bank
BOB Plus 1,cashback,grocery_cashback,0.79,shopping,Bank of Baroda,826,BOB Plus 1,credit_card,826.0,BOB Plus 1 cashback grocery_cashback shopping Bank of Baroda 0.79 annual fee 826,cashback moderate_fee shopping,BOB Plus 1 cashback grocery_cashback shopping Bank of Baroda 0.79 annual fee 826 cashback moderate_fee shopping cashback grocery_cashback shopping Bank of Baroda
Canara Elite 1,fuel_rewards,movie_discounts,4.41,dining,Canara Bank,4777,Canara Elite 1,credit_card,4777.0,Canara Elite 1 fuel_rewards movie_discounts dining Canara Bank 4.41 annual fee 4777,discounts fuel premium_fee,Canara Elite 1 fuel_rewards movie_discounts dining Canara Bank 4.41 annual fee 4777 discounts fuel premium_fee fuel_rewards movie_discounts dining Canara Bank
BOB Elite 2,premium_points,concierge_service,5.66,luxury,Bank of Baroda,3128,BOB Elite 2,credit_card,3128.0,BOB Elite 2 premium_points concierge_service luxury Bank of Baroda 5.66 annual fee 3128,points premium premium_fee,BOB Elite 2 premium_points concierge_service luxury Bank of Baroda 5.66 annual fee 3128 points premium premium_fee premium_points concierge_service luxury Bank of Baroda
Federal Signature 3,cashback,airport_lounge_access,1.94,groceries,Federal Bank,6201,Federal Signature 3,credit_card,6201.0,Federal Signature 3 cashback airport_lounge_access groceries Federal Bank 1.94 annual fee 6201,cashback premium premium_fee,Federal Signature 3 cashback airport_lounge_access groceries Federal Bank 1.94 annual fee 6201 cashback premium premium_fee cashback airport_lounge_access groceries Federal Bank
Canara Premium 2,shopping_rewards,international_travel,3.58,online_spends,Canara Bank,1779,Canara Premium 2,credit_card,1779.0,Canara Premium 2 shopping_rewards international_travel online_spends Canara Bank 3.58 annual fee 1779,premium premium_fee shopping travel,Canara Premium 2 shopping_rewards international_travel online_spends Canara Bank 3.58 annual fee 1779 premium premium_fee shopping travel shopping_rewards international_travel online_spends Canara Bank
Union Premium,cashback,business_expenses,1.31,travel,Union Bank of India,2769,Union Premium,credit_card,2769.0,Union Premium cashback business_expenses travel Union Bank of India 1.31 annual fee 2769,business cashback premium premium_fee travel,Union Premium cashback business_expenses travel Union Bank of India 1.31 annual fee 2769 business cashback premium premium_fee travel cashback business_expenses travel Union Bank of India
RBL Elite 1,fuel_rewards,business_expenses,3.97,travel,RBL Bank,1620,RBL Elite 1,credit_card,1620.0,RBL Elite 1 fuel_rewards business_expenses travel RBL Bank 3.97 annual fee 1620,business fuel premium_fee travel,RBL Elite 1 fuel_rewards business_expenses travel RBL Bank 3.97 annual fee 1620 business fuel premium_fee travel fuel_rewards business_expenses travel RBL Bank
SBI BPCL 1,fuel_rewards,business_expenses,3.59,online_spends,SBI,2193,SBI BPCL 1,credit_card,2193.0,SBI BPCL 1 fuel_rewards business_expenses online_spends SBI 3.59 annual fee 2193,business fuel premium_fee shopping,SBI BPCL 1 fuel_rewards business_expenses online_spends SBI 3.59 annual fee 2193 business fuel premium_fee shopping fuel_rewards business_expenses online_spends SBI
Kotak Emerald 1,dining_rewards,grocery_cashback,4.21,business,Kotak Mahindra,6378,Kotak Emerald 1,credit_card,6378.0,Kotak Emerald 1 dining_rewards grocery_cashback business Kotak Mahindra 4.21 annual fee 6378,business cashback discounts premium_fee,Kotak Emerald 1 dining_rewards grocery_cashback business Kotak Mahindra 4.21 annual fee 6378 business cashback discounts premium_fee dining_rewards grocery_cashback business Kotak Mahindra
Airtel Elite,cashback,milestone_rewards,1.35,travel,Airtel Payments Bank,2660,Airtel Elite,credit_card,2660.0,Airtel Elite cashback milestone_rewards travel Airtel Payments Bank 1.35 annual fee 2660,cashback premium_fee travel,Airtel Elite cashback milestone_rewards travel Airtel Payments Bank 1.35 annual fee 2660 cashback premium_fee travel cashback milestone_rewards travel Airtel Payments Bank
Federal Signature 2,dining_rewards,international_travel,3.45,travel,Federal Bank,701,Federal Signature 2,credit_card,701.0,Federal Signature 2 dining_rewards international_travel travel Federal Bank 3.45 annual fee 701,discounts moderate_fee premium travel,Federal Signature 2 dining_rewards international_travel travel Federal Bank 3.45 annual fee 701 discounts moderate_fee premium travel dining_rewards international_travel travel Federal Bank
HDFC Smartbuy 3,shopping_rewards,golf_membership,3.02,travel,HDFC Bank,5776,HDFC Smartbuy 3,credit_card,5776.0,HDFC Smartbuy 3 shopping_rewards golf_membership travel HDFC Bank 3.02 annual fee 5776,premium_fee shopping travel,HDFC Smartbuy 3 shopping_rewards golf_membership travel HDFC Bank 3.02 annual fee 5776 premium_fee shopping travel shopping_rewards golf_membership travel HDFC Bank
Canara Smart,premium_points,international_travel,5.66,shopping,Canara Bank,7975,Canara Smart,credit_card,7975.0,Canara Smart premium_points international_travel shopping Canara Bank 5.66 annual fee 7975,points premium premium_fee shopping travel,Canara Smart premium_points international_travel shopping Canara Bank 5.66 annual fee 7975 points premium premium_fee shopping travel premium_points international_travel shopping Canara Bank
Axis BUZZ,shopping_rewards,fuel_surcharge_waiver,1.83,groceries,Axis Bank,5725,Axis BUZZ,credit_card,5725.0,Axis BUZZ shopping_rewards fuel_surcharge_waiver groceries Axis Bank 1.83 annual fee 5725,fuel premium_fee shopping,Axis BUZZ shopping_rewards fuel_surcharge_waiver groceries Axis Bank 1.83 annual fee 5725 fuel premium_fee shopping shopping_rewards fuel_surcharge_waiver groceries Axis Bank
Canara CashBack,premium_points,fuel_surcharge_waiver,4.97,dining,Canara Bank,3804,Canara CashBack,credit_card,3804.0,Canara CashBack premium_points fuel_surcharge_waiver dining Canara Bank 4.97 annual fee 3804,cashback discounts fuel points premium premium_fee,Canara CashBack premium_points fuel_surcharge_waiver dining Canara Bank 4.97 annual fee 3804 cashback discounts fuel points premium premium_fee premium_points fuel_surcharge_waiver dining Canara Bank
Kotak Rewards 1,premium_points,online_cashback,2.07,shopping,Kotak Mahindra,4582,Kotak Rewards 1,credit_card,4582.0,Kotak Rewards 1 premium_points online_cashback shopping Kotak Mahindra 2.07 annual fee 4582,cashback points premium premium_fee shopping,Kotak Rewards 1 premium_points online_cashback shopping Kotak Mahindra 2.07 annual fee 4582 cashback points premium premium_fee shopping premium_points online_cashback shopping Kotak Mahindra
Kotak 811,fuel_rewards,online_cashback,4.35,travel,Kotak Mahindra,6036,Kotak 811,credit_card,6036.0,Kotak 811 fuel_rewards online_cashback travel Kotak Mahindra 4.35 annual fee 6036,cashback fuel premium_fee shopping travel,Kotak 811 fuel_rewards online_cashback travel Kotak Mahindra 4.35 annual fee 6036 cashback fuel premium_fee shopping travel fuel_rewards online_cashback travel Kotak Mahindra
